feature,importance
Cabin_E101,0.0
Cabin_E12,0.0
Cabin_E121,0.0
Cabin_E17,0.0
Cabin_E24,0.0
Cabin_E25,0.0006152391272707187
Cabin_E31,0.0
Cabin_E36,0.0
Cabin_E38,0.0
Cabin_E40,0.0
Cabin_E44,0.0
Cabin_E46,0.0
Cabin_E49,0.0
Cabin_E58,0.0
Cabin_E63,0.0
Cabin_E67,0.0
Cabin_E68,0.0
Cabin_E77,0.0
Cabin_E8,0.0012596297480814039
Cabin_F G73,0.0
Cabin_F2,0.0
Cabin_F33,3.0444564336425096e+27
Cabin_F4,0.0
Cabin_G6,0.0
Cabin_T,0.0
Embarked_C,0.008625730306128745
Embarked_Q,0.0005181500020682763
Embarked_S,0.002084697423129224
