feature,importance
Cabin_A20,0.00010142948188916054
Cabin_A23,0.0001239545040114416
Cabin_A24,0.0005157888481153015
Cabin_A26,4.2077824437559004e-05
Cabin_A34,4.425784002566356e-05
Cabin_A36,0.000290264530564034
Cabin_A5,0.00033260008956678287
Cabin_A7,0.000430323934146788
Cabin_B101,4.481844736252941e-05
Cabin_B18,1.5826004417288e-05
Cabin_B22,0.00021780143276569415
Cabin_B3,2.682046617804146e-05
Cabin_B30,0.00022698886728457048
Cabin_B35,7.181127426933587e-05
Cabin_B37,0.0002664565875605524
Cabin_B38,0.00032582778751603583
Cabin_B39,1.2470759927699944e-05
Cabin_B4,5.434308318679539e-05
Cabin_B49,8.015425282232305e-05
Cabin_B5,4.249600149682708e-05
Cabin_B50,7.026667151457552e-05
Cabin_B58 B60,0.00026590805657634835
Cabin_B69,0.00010093835614656532
Cabin_B71,0.0002999047934473019
Cabin_B73,5.314828239688597e-06
Cabin_B77,0.0001109628021579664
Cabin_B80,6.653751655228584e-05
Cabin_B82 B84,0.0003739104973416786
Cabin_B86,0.00040262813367130616
Cabin_B96 B98,0.0007689047657369489
Cabin_C101,2.494170023137739e-06
Cabin_C104,3.901444295235955e-05
Cabin_C110,0.00035893466473595307
Cabin_C111,0.0004377028813747116
Cabin_C118,0.0005018490523501869
Cabin_C123,0.0003356559487701838
Cabin_C124,0.00024965374641882986
Cabin_C125,0.00014957840066413957
Cabin_C126,0.00023329641379375195
Cabin_C148,8.337930979535742e-05
Cabin_C2,0.0006656183215778074
Cabin_C22 C26,0.003792829642034488
Cabin_C23 C25 C27,0.00019079694353258124
Cabin_C30,0.00019892554601447872
Cabin_C32,1.834826980657498e-05
Cabin_C45,5.603785459266829e-06
Cabin_C49,0.0005959344608239091
Cabin_C50,6.878850635807258e-05
Cabin_C52,7.120815829349245e-05
Cabin_C54,9.067180789819518e-06
Cabin_C62 C64,5.592772448767843e-06
Cabin_C65,0.00027657291755478307
Cabin_C68,0.00017329065265854905
Cabin_C70,3.487975045329007e-05
Cabin_C78,0.0006217481036388593
Cabin_C82,0.0003856393356325958
Cabin_C83,0.00015155213348930875
Cabin_C85,2.6743175605836904e-05
Cabin_C90,1.8423970591236136e-05
Cabin_C91,0.00046188129400576806
Cabin_C92,0.00013548838747135067
Cabin_C93,0.00030632536748066984
Cabin_C99,2.5980389188053565e-05
Cabin_D,0.00014197612960168313
Cabin_D10 D12,4.1100871666576344e-05
Cabin_D11,2.4122178099268168e-06
Cabin_D15,6.017198047176823e-06
Cabin_D17,0.00013051894555368698
Cabin_D19,7.921051633060599e-05
Cabin_D20,7.940354642702666e-05
Cabin_D28,1.7343377980662106e-05
Cabin_D30,0.000249423785624762
Cabin_D33,0.00016821613423308613
Cabin_D35,0.0001631102683777847
Cabin_D36,6.769803012855743e-05
Cabin_D37,3.34116658666682e-05
Cabin_D46,0.0004562344885561543
Cabin_D47,1.2937604791658265e-05
Cabin_D48,0.00035348112726364336
Cabin_D49,8.293406054297423e-05
Cabin_D50,0.00041560541006299754
Cabin_D56,0.00019429423390798642
Cabin_D6,0.0002882699861484764
Cabin_D7,5.510597782341576e-05
Cabin_D9,0.0
Cabin_E10,0.00014104774082691145
Cabin_E101,7.560050996263337e-05
Cabin_E12,9.614360355238415e-05
Cabin_E121,8.645933036340214e-05
Cabin_E17,0.0001711645636365152
Cabin_E24,0.00045206936402672726
Cabin_E25,0.0008562648962889935
Cabin_E31,0.0003907387461198639
Cabin_E36,1.3675594596359566e-06
Cabin_E38,0.00030423908918589824
Cabin_E40,3.541637690311417e-06
Cabin_E44,8.954504095405437e-05
Cabin_E46,0.0003714989012192128
Cabin_E49,6.3124163984903096e-06
Cabin_E58,0.0003575305385402649
Cabin_E63,0.0003665175252384438
Cabin_E67,0.000267150817624484
Cabin_E68,1.3965589736562176e-05
Cabin_E77,0.0005709410572192444
Cabin_E8,0.00011225796040144227
Cabin_F G73,0.001101216639912974
Cabin_F2,0.00022080063234849838
Cabin_F33,0.00024720141796575067
Cabin_F4,0.00011893859619177571
Cabin_G6,0.0014406923252689463
Cabin_T,0.0001547065901490301
Embarked_C,0.004342151863752517
Embarked_Q,0.0006681893716706425
Embarked_S,0.0036994787850673926
