dataset,model,task,seed,metric_name,test_score,train_score_if_available,status,notes
diamonds_v2,lgbm,regression,0,RMSE,10314.592128601142,6915.647456367199,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.620
diamonds_v2,lgbm,regression,42,R2,0.7817764562634728,0.9106446541525616,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.547
diamonds_v2,lgbm,regression,42,RMSE,7169.44819992439,6782.3716918346545,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.547
diamonds_v2,lgbm,regression,123,R2,0.5673616979577141,0.8564261917864925,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.569
diamonds_v2,lgbm,regression,123,RMSE,11796.20971217488,9772.575550177371,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.569
diamonds_v2,catboost,regression,0,R2,0.8014609978324869,0.9977683505095679,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.773
diamonds_v2,catboost,regression,0,RMSE,10734.594038689162,1033.7170129843455,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.773
diamonds_v2,catboost,regression,42,R2,0.8493091156385206,0.998208133583621,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.689
diamonds_v2,catboost,regression,42,RMSE,5957.697113018861,960.4486080644431,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.689
diamonds_v2,catboost,regression,123,R2,0.7732505580256327,0.9984184816824745,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.668
diamonds_v2,catboost,regression,123,RMSE,8539.90649491713,1025.672094461344,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.668
diamonds_v2,mlp,regression,0,R2,0.9114069058093425,0.9658195880632601,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=7.758
diamonds_v2,mlp,regression,0,RMSE,7170.717983788745,4045.547625535094,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=7.758
diamonds_v2,mlp,regression,42,R2,0.7965237746417365,0.9763681935488268,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.576
diamonds_v2,mlp,regression,42,RMSE,6922.959094717143,3487.9461962629302,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.576
diamonds_v2,mlp,regression,123,R2,0.6976574903915713,0.876552662069664,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.781
diamonds_v2,mlp,regression,123,RMSE,9861.19640900703,9061.754478848074,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.781
diamonds_v2,tabnet,regression,0,R2,-0.05955147743225098,-0.06715047359466553,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.050
diamonds_v2,tabnet,regression,0,RMSE,24798.403324728166,22604.842382765455,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.050
diamonds_v2,tabnet,regression,42,R2,-0.11547768115997314,-0.05970561504364014,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.877
diamonds_v2,tabnet,regression,42,RMSE,16209.341793895226,23356.8303445871,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.877
diamonds_v2,tabnet,regression,123,R2,-0.09302091598510742,-0.05278348922729492,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.549
diamonds_v2,tabnet,regression,123,RMSE,18749.696343896263,26463.115068892195,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=3.549
diamonds_v2,tabpfn,regression,0,R2,,,skipped,best_params.json not found
diamonds_v2,tabpfn,regression,42,R2,,,skipped,best_params.json not found
diamonds_v2,tabpfn,regression,123,R2,,,skipped,best_params.json not found
diamonds_v2,apt,regression,0,R2,,,skipped,best_params.json not found
diamonds_v2,apt,regression,42,R2,,,skipped,best_params.json not found
diamonds_v2,apt,regression,123,R2,,,skipped,best_params.json not found
diamonds_v3,rf,regression,0,R2,0.8003781756109462,0.9174804344208817,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.372
diamonds_v3,rf,regression,0,RMSE,10763.82721502383,6285.895234459084,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.372
diamonds_v3,rf,regression,42,R2,0.7665587408497558,0.9425863578415601,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.374
diamonds_v3,rf,regression,42,RMSE,7415.214831474804,5436.618587370649,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.374
diamonds_v3,rf,regression,123,R2,0.7676221665228917,0.9116453752348092,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.376
diamonds_v3,rf,regression,123,RMSE,8645.245912972317,7666.304586250931,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.376
diamonds_v3,xgboost,regression,0,R2,0.7992715835571289,0.9999876022338867,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.495
diamonds_v3,xgboost,regression,0,RMSE,10793.621207735461,77.12294191263626,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.495
diamonds_v3,xgboost,regression,42,R2,0.8015871047973633,0.9999938011169434,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.476
diamonds_v3,xgboost,regression,42,RMSE,6836.280183295599,56.390053672236455,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.476
diamonds_v3,xgboost,regression,123,R2,0.7477160096168518,0.9999938011169434,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.463
diamonds_v3,xgboost,regression,123,RMSE,9007.926692986148,64.27308407580932,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.463
diamonds_v3,lgbm,regression,0,R2,0.7642931582349883,0.9647054511956663,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.614
diamonds_v3,lgbm,regression,0,RMSE,11696.308156513145,4110.952787731433,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.614
diamonds_v3,lgbm,regression,42,R2,0.7949600574034856,0.9717372885752058,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.611
diamonds_v3,lgbm,regression,42,RMSE,6949.5096938663055,3814.4175212605833,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.611
diamonds_v3,lgbm,regression,123,R2,0.5743669880647994,0.9075328056688607,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.563
diamonds_v3,lgbm,regression,123,RMSE,11700.31769654953,7842.69393466934,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.563
diamonds_v3,catboost,regression,0,R2,0.844046905938703,0.9972478879542354,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.892
diamonds_v3,catboost,regression,0,RMSE,9513.92460011333,1147.9467096371036,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.892
diamonds_v3,catboost,regression,42,R2,0.8373466451201702,0.9977025264166488,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.843
